ITEM	REF	DESC	MEAN	ALT	FS	D1	D2	D3	D4	D5	D6	D7
20001	330	0325043969016	88000	72000	F	4860	2000					
20002	330	0325043969016	33000	27000	F	62780	296560					
20003	330	0325043969016	44000	36000	F	19820	25800					
20004	330	0410044960010	59500	59500	F	12100	12000					
20005	330	0410044960010	47500	47500	F	19000	21000					
20006	330	0410044960010	41500	41500	F	28000	59000					
20007	330	0435444965010	75000	75000	F	2100	2000					
20008	330	0435444965010	67500	67500	F	4000	3000					
20009	330	0435444965010	60000	60000	F	5000	4000					
20010	330	0435444965010	50000	50000	F	6100	6000					
20011	330	0435444965010	40000	40000	F	15000	13000					
20012	330	0435444965010	35000	35000	F	46000	27000					
20013	330	0435444965010	70000	30000	F	27000	22000	25000				
20014	330	0600045969010	54000	36000	F	20000	21000					
20015	330	0600045869010	42000	28000	F	90000	71000					
20016	330	0600045869010	51000	34000	F	41000	18000					
20017	330	0600045869010	0	55000	F	36000	43000					
20018	330	0600045869010	0	70000	F	43000	14000					
20019	330	0600045869010	0	60000	F	52000	39000					
20020	330	0600045969010	0	70000	F	11100	11000					
20021	330	0600045969010	0	60000	F	175000	28000					
20022	330	0600045969010	0	65000	F	10000	43000					
20023	330	0535745865010	176000	144000	F	132	123					
20024	330	0535745865010	132000	108000	F	389	351					
20025	330	0535745865010	110000	90000	F	815	642					
20026	330	0535745865010	99000	81000	F	1860	1920					
20027	330	0535745865010	88000	72000	F	3100	3100	2490				
20028	330	0535745865010	77000	63000	F	5900	7000	6500				
20029	330	0535745865010	66000	54000	F	16000	20000					
20030	330	0535745865010	55000	45000	F	2112000	42000	56000	44000			
					S	2112000						
20031	330	0535745865010	52250	42750	F	38000	136000	4794000	71000			
20032	330	0535445865010	50000	50000	F	8000	7000					
20033	330	0535445865010	40000	40000	F	29000	41000					
20034	330	0535445865010	84000	36000	F	7100	7000					
20035	330	0525045969016	41250	33750	F	15210	31940					
20036	330	0525045969016	35750	29250	F	59400	5602630					
20037	330	0510045969010	59500	59500	F	8000	10000					
20038	330	0510045969010	47500	47500	F	20000	22000					
20039	330	0510045969010	41500	41500	F	51000	52000					
20040	330	0510045969010	35500	35500	F	1979000	71000					
					S	1979000						
20041	329	0318849065450	0	50000	F	64200	77760	84840				
20042	329	0318849065450	0	40000	F	193920	218160	289800				
20043	329	0318849065450	0	30000	F	739200	748800	765000	766080	939360	1186560	
20044	329	0318849065450	0	25000	F	1770300	1934400	3224520				
20045	329	0318849065450	0	20000	F	2663580	5418000	6605400	15244920	22972320	83604960	
20046	329	0318849065456	0	30000	F	564480	580920	486000	489600			
20047	329	0318849065456	0	20000	F	2711160	3572040	4286520	5011980			
20048	329	0318849065456	0	15000	F	10703880	16670880	23731200				
20049	329	0318849065456	0	13000	F	24382080	29846880					
20050	329	0318849065456	0	25000	F	250260	316800					
20051	329	0318849065456	0	20000	F	564480	609900	733200				
20052	329	0318849065456	0	15000	F	1639440	2611320	2684160	323400			
20053	329	0318849065456	0	13000	F	3824700	4085640	475200	10668060			
20054	329	0318849065420	0	70700	F	75600	94500	124800	133320			
20055	329	0318849065420	0	56560	F	151200	190800	310500	474240	605880		
20056	329	0318849065420	0	43420	F	954720	1209600	2919600	3726540	3924300	5436000	5781240
					F	7809120						
20057	329	0318849065420	0	35350	F	4920480	6830640	13128000	16997760	26407800		
20058	329	0318849065420	0	31110	F	107198280	25520400	26994240				
					S	107198280						
20059	329	0318849065426	0	70700	F	63360	68940	87300				
20060	329	0318849065426	0	56560	F	88200	138240	162960	194040			
20061	329	0318849065426	0	42420	F	552960	588000	811440	1018500			
20062	329	0318849065426	0	35350	F	1393920	1958040	2394000				
20063	329	0318849065426	0	28280	F	1411200	2222640	4449060	4839300	68120460	69956400	
20064	329	0318849065426	0	24040	F	109373880	34998480					
					S	109373880						
20065	329	0318849065426	0	56560	F	49140	55800	55800	56400			
20066	329	0318849065426	0	42420	F	117600	129600	14400	184140			
20067	329	0318849065426	0	28280	F	298920	315840	366600	377880	439920		
20068	329	0318849065426	0	25450	F	99335160	70962480					
					S	99335160						
20069	332	0602584872010	122500	122500	F	61	39					
20070	332	0602584872010	109500	109500	F	76	156	111	165			
20071	332	0602584872010	97000	97000	F	363	339	401	349			
20072	332	0602584872010	109500	109500	F	118	102	178				
20073	332	0602584872018	159000	159000	F	29	21	6	37			
20074	332	0602584872018	142500	142500	F	98	81	137	113			
20075	332	0602584872018	125500	125500	F	231	281	285	291			
20076	332	0602584972018	142500	142500	F	53	80	80				
20077	332	0602584872018	149000	149000	F	53	62	18				
20078	332	0602584872011	109500	109500	F	200	100	100				
20079	332	0602584872011	97000	97000	F	300	300	350	300			
